사료 번호,연대,대대,중대,기타소속,년도,월,일,날짜,지역 분류,지역,일본군수,의병수,일본군사상자,의병사망,한국군사망,특이사항,의병 지휘부
사료1,51,,11,,1907,8,20,1907-08-20,경기도,여주,,300,1,40, ,,
사료1,51,2대대,5,아다치 지대,1907,8,22,1907-08-22,충청북도,제천,,불명,,3,,,
사료1,51,,2,아다치 지대,1907,8,22,1907-08-22,충청북도,충주,,60,,10,20,,
사료1,1,,9,충주수비대,1907,8,23,1907-08-23,충청북도,충주,,200,1,26,,,
사료1,51,,8,요코에 소대,1907,8,24,1907-08-24,충청북도,단양,,15,,1,,,
사료1,14,,3,다자네 소대,1907,8,26,1907-08-26,경기도,오산,,70,,20,,,
사료1,14,후와 대대,,,1907,8,30,1907-08-30,경기도,이천,,100,,불명,,민간인 6명 총살,
사료1,14,,니시오카,,1907,8,27,1907-08-27,경상북도,영주,,150,,1,,,
사료1,51,,11,,1907,8,30,1907-08-30,경기도,이천,,100,,12,,,
사료1,14,,9,,1907,8,30,1907-08-30,충청북도,보은,,170,,30,,,
사료1,47,,6,,1907,8,30,1907-08-30,충청북도,괴산,,150,,40,,,
사료1,51,,5,,1907,9,3,1907-09-03,강원도,영월,,불명,,5,1,마을 2개 방화,
사료1,14,,구시노,,1907,9,7,1907-09-07,충청북도,진천,40,20,,1,,,
사료1,14,,사카이자와,,1907,9,7,1907-09-07,강원도,홍천,,600,,10,,,
사료1,51,,1,,1907,9,8,1907-09-08,경기도,양주,,,1,10,,,
사료1,51,,8,청안 수비대,1907,9,11,1907-09-11,충청북도,증평,26,20,,35,,,
사료2,52,,9,,1907,8,24,1907-08-24,경기도,양평,,,,50,,용문사 상원사 방화,
사료2,52,,9,,1907,8,29,1907-08-29,경기도,파주,,200,1,100,,,
사료2,50,,,사이토 소대,1907,9,5,1907-09-05,강원도,영월,,50,1,3,,,
사료2,14,,5,니시하라 소대,1907,9,6,1907-09-06,경상북도,상주,,10,,,,,
사료2,51,,1,,1907,9,7,1907-09-07,경기도,양주,,70,,,,,
사료2,47,,10,,1907,9,8,1907-09-08,강원도,평창,,150,1,19,,3/1 한국군,
사료2,50,,11,,1907,9,13,1907-09-13,경상북도,울진,,70,,17,,,참위 박준성
사료2,14,,5,,1907,9,14,1907-09-14,경상북도,문경,,500,,15,,,이강년 의진
사료2,50,,4,아이다 소대,1907,9,14,1907-09-14,강원도,정선,,40,,1,1,민간인 3사망,
사료2,50,,4,아이다 소대,1907,9,15,1907-09-15,강원도,정선,,50,,3,2,민간인 18사망,
사료2,51,,1,유아사 소대,1907,9,14,1907-09-14,경기도,경기,,200,1,64,,,
사료2,47,,7,광주 수비대,1907,9,17,1907-09-17,경기도,광주,,450,,20,,포 1문,
사료2,51,,9,니노미야 소대,1907,9,17,1907-09-17,충청북도,음성,,30,,5,,우락리 방화,
사료2,51,,9,니노미야 소대,1907,9,17,1907-09-17,충청북도,음성,,30,,3,,포로 도주 사살,
사료2,51,,9,니노미야 소대,1907,9,19,1907-09-19,충청북도,음성,,200,,16,,,
사료2,47,,12,나카하라 소대,1907,9,19,1907-09-19,경기도,용인,,100,,8,,,
사료2,47,,12,나카하라 소대,1907,9,22,1907-09-22,경기도,안성,,불명,,15,,,
사료2,52,,12,2소대,1907,9,20,1907-09-20,강원도,춘천,,300,,5,,전술적 행동,
사료2,52,,우에다,,1907,9,20,1907-09-20,황해도,토산,,150,,3,,,
사료2,52,,우에다,나카무라 소대,1907,9,24,1907-09-24,강원도,철원,40,60,,23,,폭민' 포함,
사료3,51,,9,,1907,8,18,1907-08-18,경기도,이천,,150,,미상,,,
사료3,14,,3,,1907,8,23,1907-08-23,경기도,이천,31,30,,5,,국영환 자택 방화,
사료3,기병17,,3,,1907,8,27,1907-08-27,경기도,하남,,미상,,,,,
사료3,51,,8,,1907,8,30,1907-08-30,강원도,영월,,60,,미상,,50연대 4중대 1소대 편조,
사료3,51,,11,,1907,9,1,1907-09-01,경기도,이천,,30,,미상,,,
사료3,14,,,오카무라 소대,1907,9,4,1907-09-04,충청북도,진천,,150,,30,,,
사료3,47,,,다자키 소대,1907,9,7,1907-09-07,강원도,원주,,2,,2,,,
사료3,51,,,부뇨 소대,1907,9,9,1907-09-09,충청북도,충주,,20,1,13,,,
사료3,51,,1,1소대 장호원 수비대,1907,9,19,1907-09-19,경기도,이천,,400,,미상,,한국군 20,
사료3,50,,4,,1907,9,19,1907-09-19,강원도,강릉,,300,,30,,,
사료3,47,,,시모바야시 소대,1907,9,20,1907-09-20,강원도,원주,15,100,,미상,,,
사료3,14,,11,쥬마 소대,1907,9,19,1907-09-19,경상북도,영양,12,92,,123,,,박처사
